referencia;proveedor;estante;nombre;referencia2;iva;cantidad;costo;precio;unidad_medida;fecha;fecha_trx
770723345095;0;0;TEJA LUMINIT REF 5    1.53 X 90;770723345095;16;7;14963;23500;TEJAS;31/01/2011;01/12/2013
770701531930;0;0;TEJA LUMINIT REF # 8 2.44;770701531930;16;5;25205;35000;TEJA;31/01/2011;26/03/2016
771701531926;0;0;TEJA LUMINIT REF6  1.80 X 90;771701531926;16;2;17926;27000;TEJAS;31/01/2011;13/03/2016
3434;0;0;TEJA ZINC3.05TS X 80 CMS CANALETA;243044605021;16;5;10646;16000;;31/01/2011;22/12/2014
3432;0;0;TEJA LUMINET REF # 4 1.22;243044605022;16;8;13050;18500;TEJA;31/01/2011;09/04/2016
3433;0;0;TEJA ZINC 2.70 MTS X 90 CMS  LISA;243044605023;16;5;13794;18500;;31/01/2011;04/12/2015
3068;0;0;PLATON COCHE FIBRA;243044605024;16;1;0;84000;;31/01/2011;        
3069;0;0;PLATON COCHE METALICO;243044605025;16;1;0;0;;31/01/2011;        
1959;0;0;"CORTINERO DORADO 1/2""";243044605026;16;5950;16;25;CENTIMETRO;31/01/2011;09/04/2016
1956;0;0;"CORTINERO CROMADO 1/2""";243044605027;16;1556;8;25;CENTIMETRO;31/01/2011;05/04/2016
1953;0;0;"CORTINERO ANONIZADO 1/2""";243044605028;16;7181;14;25;CENTIMETRO;31/01/2011;09/04/2016
3038;0;0;PISA CABLE METALICO;243044605029;16;1650;25;60;CENTIMETRO;31/01/2011;05/03/2016
1954;0;0;"CORTINERO ANONIZADO 3/4""";243044605030;16;5990;24;35;CENTIMETRO;31/01/2011;30/03/2016
1960;0;0;"CORTINERO DORADO 3/4""";243044605031;16;2010;24;35;CENTIMETRO;31/01/2011;18/04/2016
1957;0;0;"CORTINERO CROMADO 3/4""";243044605032;16;3150;20;35;CENTIMETRO;31/01/2011;23/09/2015
2018;0;0;CURVA CONDUI;243044605033;16;8;0;0;CENTIMETRO;31/01/2011;        
1952;0;0;"CORTINERO ANONIZADO 1""";243044605034;16;8037;33;45;CENTIMETRO;31/01/2011;01/04/2016
1958;0;0;"CORTINERO DORADO 1""";243044605035;16;4981;29;45;CENTIMETRO;31/01/2011;06/04/2016
1955;0;0;"CORTINERO CROMADO 1""";243044605036;16;3741;18;45;CENTIMETRO;31/01/2011;06/04/2016
1928;0;0;"COPA SANITARIA 3 """;243044605037;16;2;0;0;;31/01/2011;09/07/2014
1929;0;0;"COPA SANITARIA 4 """;243044605038;16;1;0;0;;31/01/2011;        
3650;0;0;"TUBO SANITARIA LIVIANO PVC 1 1/2""";243044605039;16;3868;0;0;CENTIMETRO;31/01/2011;24/03/2012
3651;0;0;"TUBO SANITARIA PVC 1 1/2""";243044605040;16;1972;31;55;CENTIMETRO;31/01/2011;01/04/2016
3637;0;0;"TUBO AGUAS LLUVIAS PVC 3""";243044605041;16;1804;40;65;CENTIMETRO;31/01/2011;03/01/2016
3652;0;0;"TUBO SANITARIA PVC 2""";243044605042;16;1639;35;58;CENTIMETRO;31/01/2011;25/03/2016
3639;0;0;"TUBO AGUAS NEGRAS PVC 2""";243044605043;16;2416;0;0;CENTIMETRO;31/01/2011;15/12/2011
3632;0;0;"TUBO AGUA POTABLE PVC 1 1/2""";243044605044;16;1545;0;0;CENTIMETRO;31/01/2011;09/11/2014
1633;0;0;"CANOA BAJANTES 4 """;243044605045;16;3;0;0;CANOAS;31/01/2011;        
1632;0;0;"CANOA BAJANTES 2""";243044605046;16;3;0;0;CANOAS;31/01/2011;        
1631;0;0;"CANOA BAJANTES 1 """;243044605047;16;1;0;0;CANOAS;31/01/2011;        
1630;0;0;"CANOA BAJANTE CONDUCTO 3""";243044605048;16;1;0;0;CANOAS;31/01/2011;        
1884;0;0;"COLLARINES AGUA POTABLE 2""";243044605049;16;4;0;0;;31/01/2011;        
1885;0;0;"COLLARINES AGUA POTABLE 4""";243044605050;16;3;0;0;;31/01/2011;        
3631;0;0;"TUBO AGUA POTABLE PVC  500 LBS 1/2""";243044605051;16;8518;13;25;CENTIMETRO;31/01/2011;09/04/2016
3634;0;0;"TUBO AGUA POTABLE PVC 200 LBS 3/4 """;243044605052;16;7506;0;45;CENTIMETRO;31/01/2011;02/03/2016
1636;0;0;"CANOA TERMINALES 3""";243044605053;16;9;0;0;CANOA;31/01/2011;        
3633;0;0;"TUBO AGUA POTABLE PVC 315 LBS  1""";243044605054;16;840;16;45;CENTIMETRO;31/01/2011;31/01/2016
1639;0;0;"CANOAS UNION 4 """;243044605055;16;2;0;0;CANOAS;31/01/2011;        
1638;0;0;"CANOAS ESCUADRAS 6""";243044605056;16;5;0;0;CANOAS;31/01/2011;        
1635;0;0;"CANOA ESCUADRA 8""";243044605057;16;1;0;0;CANOA;31/01/2011;        
1634;0;0;"CANOA ESCUADRA 4""";243044605058;16;1;0;0;CANOA;31/01/2011;        
1637;0;0;"CANOA UNION 2 """;243044605059;16;1;0;0;CANOAS;31/01/2011;        
3635;0;0;"TUBO AGUAS LLUVIAS PVC  2""";243044605060;16;2970;27;45;CANOAS;31/01/2011;16/03/2016
3649;0;0;"TUBO SANITARIA  PVC 4""";243044605061;16;2170;97;150;CENTIMETRO;31/01/2011;21/02/2016
3638;0;0;"TUBO AGUAS LLUVIAS PVC 4 """;243044605062;16;3350;62;95;;31/01/2011;31/05/2015
3636;0;0;TUBO AGUAS LLUVIAS PVC 1 1/2;243044605063;16;2650;18;28;CENTIMETRO;31/01/2011;24/03/2016
3653;0;0;"TUBO SANITARIA PVC 3""";243044605064;16;2142;67;100;CENTIMETRO;31/01/2011;03/04/2016
1542;0;0;CAL SUPERIOR PREPARADA PALO DE ROSA;243044605066;16;4;3690;5800;;31/01/2011;18/01/2016
1540;0;0;CAL SUPERIOR PREPARADA MORADA LILA;243044605067;16;6;3690;6000;;31/01/2011;30/11/2015
1541;0;0;CAL SUPERIOR PREPARADA OCRE;243044605068;16;5;3690;6000;;31/01/2011;30/11/2015
1538;0;0;CAL SUPERIOR PREPARADA BLANCO;243044605069;16;1;0;5700;BULTO;31/01/2011;25/05/2011
1543;0;0;CAL SUPERIOR PREPARADA VERDE;243044605070;16;6;3690;6000;BULTO;31/01/2011;25/11/2015
1539;0;0;CAL SUPERIOR PREPARADA BLANCO HUESO;243044605071;16;9;3690;5800;BULTO;31/01/2011;22/11/2015
770718067706;0;0;DUCHA BOCHERINI VICTORY 220V;770718067706;16;12;32192;40000;;31/01/2011;05/04/2016
770718067775;0;0;DUCHA BOCHERINI VICTORY 110V;770718067775;16;12;32192;40000;;31/01/2011;04/04/2016
770718067772;0;0;DUCHA BOCHERINI MAXI 220V;770718067772;16;0;0;42000;;31/01/2011;20/01/2013
770718067774;0;0;DUCHA BOCHERINI MAXI 110V;770718067774;16;0;0;42000;;31/01/2011;01/03/2012
770718067713;0;0;DUCHA BOCHERINI FUSION 110V;770718067713;16;9;35000;50000;;31/01/2011;04/03/2016
770718067714;0;0;DUCHA BOCHERINI FUSION 220V;770718067714;16;11;28000;50000;;31/01/2011;12/03/2016
770391600012;0;0;DUCHA FAMMY 110V BEIGE;770391600012;16;1;0;33000;;31/01/2011;18/07/2011
770391600027;0;0;DUCHA FAMMY 220V BEIGE;770391600027;16;3;0;33000;;31/01/2011;28/12/2012
770719133105;0;0;DUCHA KONTIKI LAVACABEZAS 110V Y 220V;770719133105;16;0;33500;55000;;31/01/2011;12/09/2014
770719133104;0;0;DUCHA KONTIKI 110V;770719133104;16;2;25700;37000;;31/01/2011;01/10/2013
770404800003;0;0;DUCHA CORAL 220V;770404800003;16;0;0;34000;;31/01/2011;14/04/2011
770404815040;0;0;DUCHA CORAL 110V;770404815040;16;0;0;34000;;31/01/2011;10/08/2011
770323101081;0;0;DUCHA GRICOL 110V;770323101081;16;0;0;32000;;31/01/2011;25/05/2013
770719133101;0;0;DUCHA KONTIKI 110V CON MANGUERA;770719133101;16;1;0;45000;;31/01/2011;        
770719133003;0;0;DUCHA KONTIKI JD DIRIGIBLE 220V;770719133003;16;0;0;60000;;31/01/2011;09/12/2012
770719133002;0;0;DUCHA KONTIKI JD DIRIGIBLE 110V;770719133002;16;0;34500;60000;;31/01/2011;16/10/2013
770391600081;0;0;DUCHA FAMMY CON MANGUERA Y MIPLE 110V;770391600081;16;1;0;44000;;31/01/2011;        
770391600082;0;0;DUCHA FAMMY CON MIPLE 110V;770391600082;16;2;0;40000;;31/01/2011;        
3644;0;0;TUBO CONDUY 1/2 SEMIPESADO;243044605091;16;44;923;2500;TUBO;01/02/2011;08/04/2016
3645;0;0;TUBO CONDUY 1/2 PESADO;243044605092;16;25;2389;4000;;01/02/2011;27/03/2016
3647;0;0;TUBO CONDUY PESADO 3/4;243044605093;16;18;2891;4500;;01/02/2011;22/03/2016
1158;0;0;BASE NEVERA TUBO;243044605094;16;1;10000;20000;;01/02/2011;25/06/2013
1157;0;0;BASE NEVERA ANGULO;243044605095;16;0;7500;18000;;01/02/2011;05/11/2013
3646;0;0;TUBO CONDUY 3/4 LIVIANO;243044605096;16;16;1485;3000;;01/02/2011;09/04/2016
3643;0;0;"TUBO CONDUY 1"" PESADO";243044605097;16;1;0;0;;01/02/2011;        
3642;0;0;"TUBO CONDUY 1"" LIVIANO";243044605098;16;3;0;0;;01/02/2011;29/04/2012
2921;0;0;PERA PARA BA¾O;243044605099;16;24;750;2000;;01/02/2011;05/03/2016
2020;0;0;CURVAS CONDUY 1/2;243044605100;16;74;163;350;;01/02/2011;08/04/2016
1643;0;0;CARNAZA X BOLSA;243044605101;16;39;300;700;BOLSA;01/02/2011;30/03/2016
1514;0;0;CAJA 4X4 PLASTICA;243044605103;16;139;328;800;;01/02/2011;04/04/2016
3381;0;0;TAPA PLUS;243044605104;16;83;180;500;;01/02/2011;21/03/2016
770728718038;0;0;VASO LICUADORA OSTER PLASTICO;770728718038;16;11;3400;6000;;01/02/2011;05/03/2016
1529;0;0;CAJA OCTAGONAL PLASTICA;243044605106;16;118;328;800;;01/02/2011;18/04/2016
3776;0;0;"YE SANITARIA 4""";243044605107;16;6;7158;11000;;01/02/2011;17/01/2016
3775;0;0;"YE SANITARIA 3""";243044605108;16;1;3379;6500;;01/02/2011;18/04/2016
1528;0;0;CAJA OCTAGONAL METALICA;243044605109;16;59;400;800;;01/02/2011;04/06/2015
