referencia;estante;nombre;nombre_corto;iva;costo;precio
7,70723E+11;0;TEJA LUMINIT REF 5    1.53 X 90;TEJA LUMINIT REF 5    1.53 X 90;16;14963;23500
7,70702E+11;0;TEJA LUMINIT REF # 8 2.44;TEJA LUMINIT REF # 8 2.44;16;25205;35000
7,71702E+11;0;TEJA LUMINIT REF6  1.80 X 90;TEJA LUMINIT REF6  1.80 X 90;16;17926;27000
3434;0;TEJA ZINC3.05TS X 80 CMS CANALETA;TEJA ZINC3.05TS X 80 CMS CANALETA;16;10646;16000
3432;0;TEJA LUMINET REF # 4 1.22;TEJA LUMINET REF # 4 1.22;16;13050;18500
3433;0;TEJA ZINC 2.70 MTS X 90 CMS  LISA;TEJA ZINC 2.70 MTS X 90 CMS  LISA;16;13794;18500
3068;0;PLATON COCHE FIBRA;PLATON COCHE FIBRA;16;0;84000
3069;0;PLATON COCHE METALICO;PLATON COCHE METALICO;16;0;0
1959;0;"CORTINERO DORADO 1/2""";"CORTINERO DORADO 1/2""";16;16;25
1956;0;"CORTINERO CROMADO 1/2""";"CORTINERO CROMADO 1/2""";16;8;25
1953;0;"CORTINERO ANONIZADO 1/2""";"CORTINERO ANONIZADO 1/2""";16;14;25
3038;0;PISA CABLE METALICO;PISA CABLE METALICO;16;25;60
1954;0;"CORTINERO ANONIZADO 3/4""";"CORTINERO ANONIZADO 3/4""";16;24;35
1960;0;"CORTINERO DORADO 3/4""";"CORTINERO DORADO 3/4""";16;24;35
1957;0;"CORTINERO CROMADO 3/4""";"CORTINERO CROMADO 3/4""";16;20;35
2018;0;CURVA CONDUI;CURVA CONDUI;16;0;0
1952;0;"CORTINERO ANONIZADO 1""";"CORTINERO ANONIZADO 1""";16;33;45
1958;0;"CORTINERO DORADO 1""";"CORTINERO DORADO 1""";16;29;45
1955;0;"CORTINERO CROMADO 1""";"CORTINERO CROMADO 1""";16;18;45
1928;0;"COPA SANITARIA 3 """;"COPA SANITARIA 3 """;16;0;0
1929;0;"COPA SANITARIA 4 """;"COPA SANITARIA 4 """;16;0;0
3650;0;"TUBO SANITARIA LIVIANO PVC 1 1/2""";"TUBO SANITARIA LIVIANO PVC 1 1/2""";16;0;0
3651;0;"TUBO SANITARIA PVC 1 1/2""";"TUBO SANITARIA PVC 1 1/2""";16;31;55
